# Number of events taken from /rdsk/dats1/atlas/kkreul/combination/A++/v02_v34lj_CutNominal_MC16a/sgtop_tchan_signal/AtlSgTop_tChannelAnalysis/analysis/2Jets/lnu/nominal on 2022-04-26 11:47:40+02:00
# Sample             ; n_events ;  n_files ;     evts/f
363355ZqqZvv         ;        0 ;        2 ;        0,0
363356ZqqZll         ;     4750 ;       16 ;      296,8
363357WqqZvv         ;        0 ;        2 ;        0,0
364100ZmumuLight     ;        2 ;       10 ;        0,2
364101ZmumuC         ;       10 ;       14 ;        0,7
364102ZmumuB         ;      174 ;       18 ;        9,6
364103ZmumuLight     ;        2 ;       10 ;        0,2
364104ZmumuC         ;       34 ;        6 ;        5,6
364105ZmumuB         ;     2690 ;       16 ;      168,1
364106ZmumuLight     ;        2 ;       10 ;        0,2
364107ZmumuC         ;       80 ;       12 ;        6,6
364108ZmumuB         ;    13798 ;       12 ;     1149,8
364109ZmumuLight     ;        6 ;       12 ;        0,5
364110ZmumuC         ;       22 ;        6 ;        3,6
364111ZmumuB         ;     3186 ;       14 ;      227,5
364112Zmumu          ;      266 ;       10 ;       26,6
364113Zmumu          ;       38 ;        6 ;        6,3
364114ZeeLight       ;        0 ;       10 ;        0,0
364115ZeeC           ;        0 ;        8 ;        0,0
364116ZeeB           ;       66 ;       12 ;        5,5
364117ZeeLight       ;        4 ;       14 ;        0,2
364118ZeeC           ;       16 ;       12 ;        1,3
364119ZeeB           ;     1130 ;       18 ;       62,7
364120ZeeLight       ;        0 ;       12 ;        0,0
364121ZeeC           ;       42 ;       10 ;        4,2
364122ZeeB           ;     6702 ;       50 ;      134,0
364123ZeeLight       ;        2 ;       12 ;        0,1
364124ZeeC           ;        8 ;        6 ;        1,3
364125ZeeB           ;     1870 ;       16 ;      116,8
364126Zee            ;      156 ;       22 ;        7,0
364127Zee            ;       40 ;        6 ;        6,6
364128ZtautauLight   ;        0 ;        4 ;        0,0
364129ZtautauC       ;        4 ;        4 ;        1,0
364130ZtautauB       ;       32 ;        4 ;        8,0
364131ZtautauLight   ;        0 ;        8 ;        0,0
364132ZtautauC       ;       12 ;        6 ;        2,0
364133ZtautauB       ;      624 ;       14 ;       44,5
364134ZtautauLight   ;        2 ;        6 ;        0,3
364135ZtautauC       ;       28 ;        4 ;        7,0
364136ZtautauB       ;     1298 ;        4 ;      324,5
364137ZtautauLight   ;       12 ;       14 ;        0,8
364138ZtautauC       ;        6 ;        4 ;        1,5
364139ZtautauB       ;      450 ;        6 ;       75,0
364140Ztautau        ;       82 ;       10 ;        8,2
364141Ztautau        ;       20 ;        4 ;        5,0
364156WmunuLight     ;        1 ;       19 ;        0,0
364157WmunuC         ;       86 ;       71 ;        1,2
364158WmunuB         ;      776 ;       44 ;       17,6
364159WmunuLight     ;        2 ;       17 ;        0,1
364160WmunuC         ;      225 ;       14 ;       16,0
364161WmunuB         ;     6903 ;       23 ;      300,1
364162WmunuLight     ;        9 ;       13 ;        0,6
364163WmunuC         ;      522 ;       18 ;       29,0
364164WmunuB         ;    22450 ;       32 ;      701,5
364165WmunuLight     ;        7 ;        8 ;        0,8
364166WmunuC         ;      104 ;        6 ;       17,3
364167WmunuB         ;     4269 ;        9 ;      474,3
364168Wmunu          ;      502 ;       12 ;       41,8
364169Wmunu          ;      227 ;        8 ;       28,3
364170WenuLight      ;        1 ;       12 ;        0,0
364171WenuC          ;       84 ;       73 ;        1,1
364172WenuB          ;      685 ;       61 ;       11,2
364173WenuLight      ;        4 ;       15 ;        0,2
364174WenuC          ;      177 ;       10 ;       17,7
364175WenuB          ;     5773 ;       21 ;      274,9
364176WenuLight      ;        7 ;       16 ;        0,4
364177WenuC          ;      516 ;       18 ;       28,6
364178WenuB          ;    20619 ;       23 ;      896,4
364179WenuLight      ;        4 ;       10 ;        0,4
364180WenuC          ;      116 ;        6 ;       19,3
364181WenuB          ;     4161 ;        7 ;      594,4
364182Wenu           ;      493 ;       11 ;       44,8
364183Wenu           ;      240 ;        7 ;       34,2
364184WtaunuLight    ;        0 ;        3 ;        0,0
364185WtaunuC        ;        0 ;        5 ;        0,0
364186WtaunuB        ;        6 ;        5 ;        1,2
364187WtaunuLight    ;        0 ;        4 ;        0,0
364188WtaunuC        ;       16 ;        2 ;        8,0
364189WtaunuB        ;      166 ;        2 ;       83,0
364190WtaunuLight    ;        1 ;        4 ;        0,2
364191WtaunuC        ;       26 ;        7 ;        3,7
364192WtaunuB        ;     1500 ;        6 ;      250,0
364193WtaunuLight    ;        1 ;        3 ;        0,3
364194WtaunuC        ;        7 ;        3 ;        2,3
364195WtaunuB        ;      154 ;        3 ;       51,3
364196Wtaunu         ;       43 ;        4 ;       10,7
364197Wtaunu         ;       16 ;        3 ;        5,3
364250llll           ;      208 ;       12 ;       17,3
364253lllv           ;      488 ;       16 ;       30,5
364254llvv           ;      390 ;       26 ;       15,0
364255lvvv           ;      944 ;       14 ;       67,4
410470ttbar          ;   228522 ;      261 ;      875,5
410644schanlt        ;    24306 ;        5 ;     4861,2
410645schanltbar     ;    26957 ;        6 ;     4492,8
410646Wt             ;     5860 ;       10 ;      586,0
410647Wtbar          ;     5975 ;       33 ;      181,0
410658tchanlt        ;    47770 ;       40 ;     1194,2
410659tchanltbar     ;    51750 ;       35 ;     1478,5
data15               ;     4934 ;       31 ;      159,1
data16               ;    44000 ;       71 ;      619,7
QCDANTIMUON15        ;       96 ;       93 ;        1,0
QCDANTIMUON16        ;     1072 ;      224 ;        4,7
# Totals:            ;   551837 ;     1991
