#
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
# !!! This is an automatically generated file !!!
# !!! D O   N O T   E D I T                   !!!
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#
#
#
# kDATA_TOPQ1
#
DATA_TOPQ1 kDATA_TOPQ1 + kBlack /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279515.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00284427.physics_Main.SGTOP1.f643_m1518_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00278968.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00284484.physics_Main.SGTOP1.f644_m1518_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00284213.physics_Main.SGTOP1.f643_m1518_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00283608.physics_Main.SGTOP1.f643_m1518_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279259.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280977.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00284006.physics_Main.SGTOP1.f643_m1518_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280464.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00282631.physics_Main.SGTOP1.f640_m1511_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00282712.physics_Main.SGTOP1.f640_m1511_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280614.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00283074.physics_Main.SGTOP1.f640_m1511_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279598.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00276511.physics_Main.SGTOP1.f620_m1480_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279928.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00281075.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00284285.physics_Main.SGTOP1.f643_m1518_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00282784.physics_Main.SGTOP1.f640_m1511_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00284154.physics_Main.SGTOP1.f643_m1518_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279984.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00281317.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00276790.physics_Main.SGTOP1.f620_m1480_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280673.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280231.physics_Main.SGTOP1.f630_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279685.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00283155.physics_Main.SGTOP1.f640_m1511_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280500.physics_Main.SGTOP1.f631_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00276952.physics_Main.SGTOP1.f620_m1480_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00282625.physics_Main.SGTOP1.f640_m1511_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00276262.physics_Main.SGTOP1.f620_m1480_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280862.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00281411.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00283429.physics_Main.SGTOP1.f643_m1518_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00276954.physics_Main.SGTOP1.f620_m1480_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00283270.physics_Main.SGTOP1.f640_m1511_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00283780.physics_Main.SGTOP1.f643_m1518_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00282992.physics_Main.SGTOP1.f640_m1511_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280520.physics_Main.SGTOP1.f632_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279284.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280950.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279867.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00278912.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00276336.physics_Main.SGTOP1.f620_m1480_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279279.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279932.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280423.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00281385.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279813.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279345.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00281074.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00284420.physics_Main.SGTOP1.f643_m1518_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00276416.physics_Main.SGTOP1.f620_m1480_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00276778.physics_Main.SGTOP1.f620_m1480_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00276689.physics_Main.SGTOP1.f623_m1480_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280368.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00281070.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00276329.physics_Main.SGTOP1.f620_m1480_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279169.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280853.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280319.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00280753.physics_Main.SGTOP1.f629_m1504_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279764.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
+ + + + /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00278880.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
#
# kSgTop_sChannel_incl
#
schannel_top kSgTop_sChannel_incl 3.44809 kAzure+3 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.kind.mc15_13TeV.410025.PowPy6Ev_P2012_sgtop_schan_l_t.SGTOP1.e3998_s2608_s2183_r7326_r6282_p2516.v10_out.root
schannel_antitop kSgTop_sChannel_incl 2.15565 kAzure+3 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.kind.mc15_13TeV.410026.PowPy6Ev_P2012_sgtop_schan_l_tbar.SGTOP1.e3998_s2608_s2183_r7326_r6282_p2516.v10_out.root
tchannel_top kSgTop_tChannel_top_incl 44.1501 kAzure+5 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.kind.mc15_13TeV.410011.PowPy6Ev_P2012_sgtop_tchan_l_t.SGTOP1.e3824_s2608_s2183_r7326_r6282_p2516.v10_out.root
