# DATA
DATA_TOPQ1,kDATA_TOPQ1,physics_Main.SGTOP1,kBlack

# single top s-channel
schannel_top,kSgTop_sChannel_incl,410025,kAzure+3
schannel_antitop,kSgTop_sChannel_incl,410026,kAzure+3

# single top t-channel
tchannel_top,kSgTop_tChannel_top_incl,410011,kAzure+5
tchannel_antitop,kSgTop_tChannel_antitop_incl,410012,kAzure+5

# single top Wt
wtchannel,kSgTop_Wt,410013,kAzure-3

# top-quark pair
ttbar,kTtbar,410000,kRed-4

# W+jets
361300,kWenuIncl,361300,kGreen-7
361301,kWenuIncl,361301,kGreen-7
361302,kWenuIncl,361302,kGreen-7
361303,kWenuIncl,361303,kGreen-7
361304,kWenuIncl,361304,kGreen-7
361305,kWenuIncl,361305,kGreen-7
361306,kWenuIncl,361306,kGreen-7
361307,kWenuIncl,361307,kGreen-7
361308,kWenuIncl,361308,kGreen-7
361309,kWenuIncl,361309,kGreen-7
361310,kWenuIncl,361310,kGreen-7
361311,kWenuIncl,361311,kGreen-7
361312,kWenuIncl,361312,kGreen-7
361313,kWenuIncl,361313,kGreen-7
361314,kWenuIncl,361314,kGreen-7
361315,kWenuIncl,361315,kGreen-7
361316,kWenuIncl,361316,kGreen-7
361317,kWenuIncl,361317,kGreen-7
361318,kWenuIncl,361318,kGreen-7
361319,kWenuIncl,361319,kGreen-7
361320,kWenuIncl,361320,kGreen-7
361321,kWenuIncl,361321,kGreen-7
361322,kWenuIncl,361322,kGreen-7
361323,kWenuIncl,361323,kGreen-7
361324,kWmunuIncl,361324,kGreen-7
361325,kWmunuIncl,361325,kGreen-7
361326,kWmunuIncl,361326,kGreen-7
361327,kWmunuIncl,361327,kGreen-7
361328,kWmunuIncl,361328,kGreen-7
361329,kWmunuIncl,361329,kGreen-7
361330,kWmunuIncl,361330,kGreen-7
361331,kWmunuIncl,361331,kGreen-7
361332,kWmunuIncl,361332,kGreen-7
361333,kWmunuIncl,361333,kGreen-7
361334,kWmunuIncl,361334,kGreen-7
361335,kWmunuIncl,361335,kGreen-7
361336,kWmunuIncl,361336,kGreen-7
361337,kWmunuIncl,361337,kGreen-7
361338,kWmunuIncl,361338,kGreen-7
361339,kWmunuIncl,361339,kGreen-7
361340,kWmunuIncl,361340,kGreen-7
361341,kWmunuIncl,361341,kGreen-7
