# Sample             ; n_events ;  n_files ;     evts/f
3040143tops          ;        2 ;        1 ;        2,0
346343ttH0l          ;        4 ;        1 ;        4,0
346344ttH1l          ;      246 ;        5 ;       49,2
346345ttH2l          ;     3762 ;        5 ;      752,4
364100ZmumuLight     ;        3 ;        5 ;        0,6
364101ZmumuC         ;       20 ;        7 ;        2,8
364102ZmumuB         ;      126 ;        9 ;       14,0
364103ZmumuLight     ;       22 ;        5 ;        4,4
364104ZmumuC         ;       95 ;        3 ;       31,6
364105ZmumuB         ;     1959 ;        8 ;      244,8
364106ZmumuLight     ;       37 ;        5 ;        7,4
364107ZmumuC         ;      255 ;        6 ;       42,5
364108ZmumuB         ;     9682 ;        6 ;     1613,6
364109ZmumuLight     ;       10 ;        6 ;        1,6
364110ZmumuC         ;       59 ;        3 ;       19,6
364111ZmumuB         ;     2317 ;        7 ;      331,0
364112Zmumu          ;      263 ;        5 ;       52,6
364113Zmumu          ;       72 ;        3 ;       24,0
364114ZeeLight       ;        4 ;        5 ;        0,8
364115ZeeC           ;       17 ;        4 ;        4,2
364116ZeeB           ;      127 ;        6 ;       21,1
364117ZeeLight       ;       24 ;        7 ;        3,4
364118ZeeC           ;       73 ;        6 ;       12,1
364119ZeeB           ;     1239 ;        9 ;      137,6
364120ZeeLight       ;       19 ;        6 ;        3,1
364121ZeeC           ;      145 ;        5 ;       29,0
364122ZeeB           ;     5248 ;       25 ;      209,9
364123ZeeLight       ;       10 ;        6 ;        1,6
364124ZeeC           ;       26 ;        3 ;        8,6
364125ZeeB           ;     1360 ;        8 ;      170,0
364126Zee            ;      151 ;       11 ;       13,7
364127Zee            ;       64 ;        3 ;       21,3
364128ZtautauLight   ;        2 ;        2 ;        1,0
364129ZtautauC       ;       10 ;        2 ;        5,0
364130ZtautauB       ;       30 ;        2 ;       15,0
364131ZtautauLight   ;       12 ;        4 ;        3,0
364132ZtautauC       ;       52 ;        3 ;       17,3
364133ZtautauB       ;      551 ;        7 ;       78,7
364156WmunuLight     ;        9 ;       19 ;        0,4
364157WmunuC         ;      559 ;       71 ;        7,8
364158WmunuB         ;     1414 ;       44 ;       32,1
364159WmunuLight     ;      130 ;       17 ;        7,6
364160WmunuC         ;     1321 ;       14 ;       94,3
364161WmunuB         ;    11307 ;       23 ;      491,6
364162WmunuLight     ;      160 ;       13 ;       12,3
364163WmunuC         ;     3713 ;       18 ;      206,2
364164WmunuB         ;    36679 ;       32 ;     1146,2
364165WmunuLight     ;      123 ;        8 ;       15,3
364166WmunuC         ;      655 ;        6 ;      109,1
364167WmunuB         ;     6926 ;        9 ;      769,5
364168Wmunu          ;     1329 ;       12 ;      110,7
364169Wmunu          ;      986 ;        8 ;      123,2
364170WenuLight      ;       15 ;       12 ;        1,2
364171WenuC          ;      466 ;       73 ;        6,3
364172WenuB          ;     1295 ;       61 ;       21,2
364173WenuLight      ;      114 ;       15 ;        7,6
364174WenuC          ;     1115 ;       10 ;      111,5
364175WenuB          ;     9516 ;       21 ;      453,1
364176WenuLight      ;      152 ;       16 ;        9,5
364177WenuC          ;     3377 ;       18 ;      187,6
364178WenuB          ;    33328 ;       23 ;     1449,0
364179WenuLight      ;      105 ;       10 ;       10,5
364180WenuC          ;      656 ;        6 ;      109,3
364181WenuB          ;     6800 ;        7 ;      971,4
364182Wenu           ;     1367 ;       11 ;      124,2
364183Wenu           ;     1031 ;        7 ;      147,2
364184WtaunuLight    ;        0 ;        3 ;        0,0
364185WtaunuC        ;        5 ;        5 ;        1,0
364186WtaunuB        ;       13 ;        5 ;        2,6
364187WtaunuLight    ;        3 ;        4 ;        0,7
364188WtaunuC        ;       68 ;        2 ;       34,0
364189WtaunuB        ;      258 ;        2 ;      129,0
364190WtaunuLight    ;       18 ;        4 ;        4,5
364191WtaunuC        ;      201 ;        7 ;       28,7
364192WtaunuB        ;     2367 ;        6 ;      394,5
364193WtaunuLight    ;       10 ;        3 ;        3,3
364194WtaunuC        ;       75 ;        3 ;       25,0
364195WtaunuB        ;      263 ;        3 ;       87,6
364196Wtaunu         ;      114 ;        4 ;       28,5
364197Wtaunu         ;       80 ;        3 ;       26,6
410155ttW            ;     1592 ;       11 ;      144,7
410156ttZnunu        ;     1263 ;        4 ;      315,7
410157ttZqq          ;       97 ;        3 ;       32,3
410218ttee           ;      126 ;        4 ;       31,5
410219ttmumu         ;      197 ;        2 ;       98,5
410220tttautau       ;      191 ;        3 ;       63,6
410276ttee_mll       ;      176 ;        1 ;      176,0
410277ttmumu_mll     ;      163 ;        1 ;      163,0
410278tttautau_mll   ;      196 ;        1 ;      196,0
410560tZq            ;      548 ;        7 ;       78,2
410644schanlt        ;    29485 ;        5 ;     5897,0
410645schanltbar     ;    32537 ;        6 ;     5422,8
410646Wt             ;    11154 ;       10 ;     1115,4
410647Wtbar          ;    11562 ;       33 ;      350,3
410658tchanlt        ;    67000 ;       40 ;     1675,0
410659tchanltbar     ;    75413 ;       35 ;     2154,6
4120434tops          ;        2 ;        4 ;        0,5
data15               ;     7516 ;       31 ;      242,4
data16               ;    68869 ;       71 ;      969,9
# Totals:            ;   464308 ;     1124
