# Number of events taken from /rdsk/dats5/atlas/kaphle/13TeV_s_channel/v10_v21lj/sgtop_schan_signal/AtlSgTop_sChannelAnalysis/analysis/2Jets/lnu/nominal/
# Sample              n_events    CPU time
363355ZqqZvv                 0       0.720
363356ZqqZll              1702     512.750
363357WqqZvv                 0       0.600
363358WqqZll                23     480.350
363359WpqqWmlv             123     373.090
363360WplvWmqq             149     370.070
363489WlvZqq              8746     388.140
363494vvvv                   0       0.460
364100ZmumuLight             2     351.430
364101ZmumuC                 7     171.250
364102ZmumuB               118     274.910
364103ZmumuLight             3     698.140
364104ZmumuC                35     240.160
364105ZmumuB              4124    1475.890
364106ZmumuLight            11     706.750
364107ZmumuC               202     850.820
364108ZmumuB             24583    3736.270
364109ZmumuLight             5     305.620
364110ZmumuC                38     156.350
364111ZmumuB              1638     320.310
364112Zmumu                277     485.290
364113Zmumu                 40     166.710
364114ZeeLight               0     247.590
364115ZeeC                   3     219.800
364116ZeeB                  23     360.960
364117ZeeLight               2     704.230
364118ZeeC                  10     247.990
364119ZeeB                 727     686.820
364120ZeeLight               1     718.300
364121ZeeC                  45     445.450
364122ZeeB               11674    3879.600
364123ZeeLight               0     319.030
364124ZeeC                  10     162.380
364125ZeeB                 938     335.320
364126Zee                  147     513.020
364127Zee                   11      67.660
364128ZtautauLight           0      22.820
364129ZtautauC               0      19.070
364130ZtautauB              18      32.310
364131ZtautauLight           0      79.010
364132ZtautauC              12      26.650
364133ZtautauB             358      82.380
364134ZtautauLight           6      97.500
364135ZtautauC              25      61.450
364136ZtautauB             934     105.740
364137ZtautauLight           4      51.570
364138ZtautauC              11      24.160
364139ZtautauB             375      49.260
364140Ztautau               76      82.790
364141Ztautau               10      29.510
364156WmunuLight             6     581.280
364157WmunuC                60     419.300
364158WmunuB               556     605.200
364159WmunuLight            54    2054.990
364160WmunuC               718    1538.070
364161WmunuB             16438    2795.900
364162WmunuLight            92    1734.660
364163WmunuC              1434    1413.320
364164WmunuB             55086    4003.400
364165WmunuLight            76     953.480
364166WmunuC               516     590.430
364167WmunuB              6002     575.430
364168Wmunu               1490    1228.650
364169Wmunu                714     872.100
364170WenuLight              6     448.450
364171WenuC                 37     357.180
364172WenuB                450     535.920
364173WenuLight             58    1957.840
364174WenuC                599    1436.930
364175WenuB               7776    1347.590
364176WenuLight             72    1761.290
364177WenuC               1275    1299.260
364178WenuB              61650    4486.570
364179WenuLight             61     911.480
364180WenuC                556     641.680
364181WenuB               6462     607.160
364182Wenu                1544    1291.990
364183Wenu                 682     935.120
364184WtaunuLight            0      37.010
364185WtaunuC                4      27.930
364186WtaunuB               16      38.320
364187WtaunuLight            2     189.030
364188WtaunuC               36     149.370
364189WtaunuB              184      43.070
364191WtaunuC              126     171.740
364192WtaunuB             4248     497.730
364193WtaunuLight            2     129.450
364194WtaunuC               50      79.660
364195WtaunuB              496      74.540
364196Wtaunu               155     171.110
364197Wtaunu                64     129.770
364250llll                 454    1877.430
364253lllv                 864    2183.460
364254llvv                 767    2287.960
364255lvvv                1380     588.560
364288llll                   6      12.490
364289lllv                   6      12.870
364290llvv                   0       1.290
410011tchanlt            10898     250.490
410012tchanltbar         14446     319.630
410470ttbar             202406    5803.280
410471ttbar                  0       0.560
410644schanlt            29621     141.020
410645schanltbar         32348     149.860
410646Wt                  5219     252.660
410647Wtbar               5219     258.410
QCDMMdata15              10822    3056.060
QCDMMdata16              92698   21281.070
# Totals:               634253  99338.950000000012
