# Number of events taken from /rdsk/dats5/atlas/kaphle/13TeV_s_channel/v13_v23lj_defaultWithBDT_MC16a/sgtop_schan_signal/AtlSgTop_sChannelAnalysis/analysis/2Jets/lnu/nominal/
# Sample              n_events    CPU time
363355ZqqZvv                 0       1.820
363356ZqqZll              2278     726.480
363357WqqZvv                 0       1.690
363358WqqZll                45     555.740
363359WpqqWmlv             161     444.380
363360WplvWmqq             184     440.040
363489WlvZqq             10804     940.280
364100ZmumuLight             1     327.220
364101ZmumuC                10     313.800
364102ZmumuB               146     504.360
364103ZmumuLight             8     797.780
364104ZmumuC                42     276.520
364105ZmumuB              2454     915.420
364106ZmumuLight            16     772.300
364107ZmumuC               142     477.360
364108ZmumuB             14676    3014.690
364109ZmumuLight             8     326.780
364110ZmumuC                50     169.860
364111ZmumuB              2313     507.850
364112Zmumu                357     551.970
364113Zmumu                 46     177.500
364114ZeeLight               0     385.660
364115ZeeC                   5     341.230
364116ZeeB                  64     558.380
364117ZeeLight               4     803.460
364118ZeeC                  15     285.260
364119ZeeB                1301     834.450
364120ZeeLight               8     794.230
364121ZeeC                  77     490.350
364122ZeeB               10277    2520.850
364123ZeeLight               2     348.740
364124ZeeC                  27     175.550
364125ZeeB                1781     459.440
364126Zee                  303     562.150
364127Zee                   45     203.140
364128ZtautauLight           0      35.860
364129ZtautauC               0      28.910
364130ZtautauB              28      48.550
364131ZtautauLight           1      88.380
364132ZtautauC              14      30.630
364133ZtautauB             460      97.440
364134ZtautauLight           9     106.830
364135ZtautauC              46      66.940
364136ZtautauB            1283     152.140
364137ZtautauLight           8      56.390
364138ZtautauC              16      26.830
364139ZtautauB             609      65.350
364140Ztautau              116      92.490
364141Ztautau               13      34.050
364156WmunuLight             5     564.740
364157WmunuC                38     379.670
364158WmunuB               340     566.290
364159WmunuLight            39    1163.240
364160WmunuC               439     896.390
364161WmunuB              9894    2046.030
364162WmunuLight            63     946.960
364163WmunuC               943     854.060
364164WmunuB             39768    9702.010
364165WmunuLight            55     516.680
364166WmunuC               394     350.870
364167WmunuB              4510     571.790
364168Wmunu               1053     750.050
364169Wmunu                469     511.670
364170WenuLight              6     536.300
364171WenuC                 24     361.520
364172WenuB                301     534.420
364173WenuLight             32    1158.600
364174WenuC                392     913.040
364175WenuB               4685    1035.140
364176WenuLight             51     962.730
364177WenuC                945     848.990
364178WenuB              39925    4996.300
364179WenuLight             49     549.250
364180WenuC                420     484.390
364181WenuB               4743    3193.680
364182Wenu                1143     802.410
364183Wenu                 459     560.270
364184WtaunuLight            0      34.720
364185WtaunuC                2      24.660
364186WtaunuB               12      34.690
364187WtaunuLight            1     112.180
364188WtaunuC               23      88.650
364189WtaunuB              105      26.430
364190WtaunuLight            4      67.030
364191WtaunuC               88      95.640
364192WtaunuB             2814     337.140
364193WtaunuLight            1      69.830
364194WtaunuC               34      44.230
364195WtaunuB              369      52.940
364196Wtaunu               107      99.420
364197Wtaunu                47      72.430
364250llll                 315    1260.440
364253lllv                 625    1369.300
364254llvv                 569    1485.180
364255lvvv                 889     487.310
410470ttbar             304847   47361.060
410644schanlt            34824    3789.970
410645schanltbar         37798    3402.750
410646Wt                  7670    1566.070
410647Wtbar               7647     925.580
410658tchanlt            35628   17877.630
410659tchanltbar         34475    2957.830
QCDANTIMUON15               87    3969.640
QCDANTIMUON16              955   27100.810
QCDJetLepton               116     604.290
data15                   12122    4874.290
data16                  118009   43644.100
# Totals:               761621  222531.25000000006
