# Number of events taken from /rdsk/dats5/atlas/kaphle/13TeV_s_channel/v13_v23lj_defaultWithBDT_MC16d/sgtop_schan_signal/AtlSgTop_sChannelAnalysis/analysis/2Jets/lnu/nominal/
# Sample              n_events    CPU time
363355ZqqZvv                 0       4.010
363356ZqqZll              2269     648.180
363357WqqZvv                 0       2.120
363358WqqZll               182    2221.910
363359WpqqWmlv             186     435.210
363360WplvWmqq             391     871.210
363489WlvZqq             10586    1099.950
364100ZmumuLight             4     457.640
364101ZmumuC                 3      83.560
364102ZmumuB               202     681.730
364103ZmumuLight            12    1034.210
364104ZmumuC                56     357.410
364105ZmumuB              2439    1008.010
364106ZmumuLight            23     991.160
364107ZmumuC               190     605.500
364108ZmumuB              5899    1149.910
364109ZmumuLight             1      81.620
364110ZmumuC                52     213.530
364111ZmumuB              2692     624.330
364112Zmumu                 90     137.880
364113Zmumu                 55     237.020
364114ZeeLight               0     469.560
364115ZeeC                   8     403.710
364116ZeeB                 119     689.520
364117ZeeLight               8     964.150
364118ZeeC                  22     341.080
364119ZeeB                1854    1141.720
364120ZeeLight              15     976.050
364121ZeeC                 131     608.570
364122ZeeB               13345    3688.790
364123ZeeLight              11     335.230
364124ZeeC                  46     215.580
364125ZeeB                2240     909.090
364126Zee                  401     688.620
364127Zee                   58     254.150
364128ZtautauLight           0      42.960
364129ZtautauC               5      33.830
364130ZtautauB              37      58.330
364131ZtautauLight           3     102.970
364132ZtautauC              13      35.910
364133ZtautauB             671     116.460
364134ZtautauLight          12     135.140
364135ZtautauC              46      80.680
364136ZtautauB            1680     164.530
364137ZtautauLight           7      66.640
364138ZtautauC              14      32.270
364139ZtautauB             705      79.660
364140Ztautau              133     113.480
364141Ztautau               24      41.480
364156WmunuLight            12     813.920
364157WmunuC                44     501.990
364158WmunuB               470     776.320
364159WmunuLight            48    1502.660
364160WmunuC               631    1162.010
364161WmunuB             12238    3126.180
364162WmunuLight            84    1194.110
364163WmunuC              1257    1180.950
364164WmunuB             41163    8398.890
364165WmunuLight            55     649.470
364166WmunuC               553     436.000
364167WmunuB              5561    1193.010
364168Wmunu               1259     974.560
364169Wmunu                549     628.980
364170WenuLight             14     618.350
364171WenuC                 47     421.110
364172WenuB                386     648.010
364173WenuLight             43    1334.780
364174WenuC                636    1085.730
364175WenuB               5775    1310.390
364176WenuLight             91    1154.310
364177WenuC               1263    1019.100
364178WenuB              49259    6426.270
364179WenuLight             63     625.580
364180WenuC                553     446.080
364181WenuB               5803     837.530
364182Wenu                1339     963.260
364183Wenu                 977    1300.630
364184WtaunuLight            0      41.760
364185WtaunuC                2      29.500
364186WtaunuB               18      40.630
364187WtaunuLight            1     131.210
364188WtaunuC               30     107.020
364189WtaunuB              307     106.750
364190WtaunuLight            7     137.240
364191WtaunuC               90     116.040
364192WtaunuB             3447     405.100
364193WtaunuLight           11      83.700
364194WtaunuC               39      53.150
364195WtaunuB              490      62.530
364196Wtaunu               126     121.960
364197Wtaunu                64      84.910
364250llll                 642    2456.670
364253lllv                1253    2939.680
364254llvv                1189    3090.630
364255lvvv                1688    1014.510
410470ttbar             355597   54347.540
410644schanlt            40861    2420.800
410645schanltbar         43840    2513.930
410646Wt                  9147    7409.090
410647Wtbar               9023    1109.860
410658tchanlt            43634    4273.830
410659tchanltbar         40974    3634.470
QCDANTIMUON17             1045   39429.440
QCDJetLepton               171     645.990
data17                  150678   61522.080
# Totals:               881487  254796.45999999996
