# shape systematics for v25 ntuples
# second column has shortcuts for filenames
nominal									nominal
EG_RESOLUTION_ALL__1down						EG_RES_ALL_d
EG_RESOLUTION_ALL__1up	      						EG_RES_ALL_u
EG_SCALE_AF2__1down	      						EG_SC_AF2_d
EG_SCALE_AF2__1up	      						EG_SC_AF2_u
EG_SCALE_ALL__1down	      						EG_SC_ALL_d
EG_SCALE_ALL__1up	      						EG_SC_ALL_u
JET_CategoryReduction_JET_BJES_Response__1down				JET_BJES_Res_d
JET_CategoryReduction_JET_BJES_Response__1up				JET_BJES_Res_u
JET_CategoryReduction_JET_EffectiveNP_Detector1__1down			JET_Eff_Det1_d
JET_CategoryReduction_JET_EffectiveNP_Detector1__1up			JET_Eff_Det1_u
JET_CategoryReduction_JET_EffectiveNP_Mixed1__1down			JET_Eff_Mix1_d
JET_CategoryReduction_JET_EffectiveNP_Mixed1__1up			JET_Eff_Mix1_u
JET_CategoryReduction_JET_EffectiveNP_Mixed2__1down			JET_Eff_Mix2_d
JET_CategoryReduction_JET_EffectiveNP_Mixed2__1up			JET_Eff_Mix2_u
JET_CategoryReduction_JET_EffectiveNP_Mixed3__1down			JET_Eff_Mix3_d
JET_CategoryReduction_JET_EffectiveNP_Mixed3__1up			JET_Eff_Mix3_u
JET_CategoryReduction_JET_EffectiveNP_Modelling1__1down			JET_Eff_Mod1_d
JET_CategoryReduction_JET_EffectiveNP_Modelling1__1up			JET_Eff_Mod1_u
JET_CategoryReduction_JET_EffectiveNP_Modelling2__1down			JET_Eff_Mod2_d
JET_CategoryReduction_JET_EffectiveNP_Modelling2__1up			JET_Eff_Mod2_u
JET_CategoryReduction_JET_EffectiveNP_Modelling3__1down			JET_Eff_Mod3_d
JET_CategoryReduction_JET_EffectiveNP_Modelling3__1up			JET_Eff_Mod3_u
JET_CategoryReduction_JET_EffectiveNP_Modelling4__1down			JET_Eff_Mod4_d
JET_CategoryReduction_JET_EffectiveNP_Modelling4__1up			JET_Eff_Mod4_u
JET_CategoryReduction_JET_EffectiveNP_Statistical1__1down		JET_Eff_Stat1_d
JET_CategoryReduction_JET_EffectiveNP_Statistical1__1up			JET_Eff_Stat1_u
JET_CategoryReduction_JET_EffectiveNP_Statistical2__1down		JET_Eff_Stat2_d
JET_CategoryReduction_JET_EffectiveNP_Statistical2__1up			JET_Eff_Stat2_u
JET_CategoryReduction_JET_EffectiveNP_Statistical3__1down		JET_Eff_Stat3_d
JET_CategoryReduction_JET_EffectiveNP_Statistical3__1up			JET_Eff_Stat3_u
JET_CategoryReduction_JET_EffectiveNP_Statistical4__1down		JET_Eff_Stat4_d
JET_CategoryReduction_JET_EffectiveNP_Statistical4__1up			JET_Eff_Stat4_u
JET_CategoryReduction_JET_EffectiveNP_Statistical5__1down		JET_Eff_Stat5_d
JET_CategoryReduction_JET_EffectiveNP_Statistical5__1up			JET_Eff_Stat5_u
JET_CategoryReduction_JET_EffectiveNP_Statistical6__1down		JET_Eff_Stat6_d
JET_CategoryReduction_JET_EffectiveNP_Statistical6__1up			JET_Eff_Stat6_u
JET_CategoryReduction_JET_EtaIntercalibration_Modelling__1down		JET_EtaI_Mod_d
